"Region","Year","Gender","Location of Placement","Type of Placement","Measure Type","Variable","Value"
"Region 4: North Central","SFY 2004-2005","Female","Out of State","Residential Treatment Center","Number","Children in Placement",39
"Region 4: North Central","SFY 2004-2005","Female","Out of State","High Meadows","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Female","Out of State","Solnit Center","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Female","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Female","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 4: North Central","SFY 2004-2005","Female","Out of State","Independent Living","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Female","Out of State","Total","Number","Children in Placement",80
"Region 4: North Central","SFY 2004-2005","Male","In State","Foster Care","Number","Children in Placement",272
"Region 4: North Central","SFY 2004-2005","Male","In State","Relative Foster Care","Number","Children in Placement",163
"Region 4: North Central","SFY 2004-2005","Male","In State","Special Study","Number","Children in Placement",27
"Region 4: North Central","SFY 2004-2005","Male","In State","Therapeutic Foster Care","Number","Children in Placement",68
"Region 4: North Central","SFY 2004-2005","Male","In State","PDC or Safe Home","Number","Children in Placement",28
"Region 4: North Central","SFY 2004-2005","Male","In State","Shelter","Number","Children in Placement",11
"Region 4: North Central","SFY 2004-2005","Male","In State","Group Home","Number","Children in Placement",41
"Region 4: North Central","SFY 2004-2005","Male","In State","Residential Treatment Center","Number","Children in Placement",49
"Region 4: North Central","SFY 2004-2005","Male","In State","High Meadows","Number","Children in Placement",4
"Region 4: North Central","SFY 2004-2005","Male","In State","Solnit Center","Number","Children in Placement",8
"Region 4: North Central","SFY 2004-2005","Male","In State","Connecticut Juvenile Training School","Number","Children in Placement",2
"Region 4: North Central","SFY 2004-2005","Male","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",2
"Region 4: North Central","SFY 2004-2005","Male","In State","Independent Living","Number","Children in Placement",9
"Region 4: North Central","SFY 2004-2005","Male","In State","Total","Number","Children in Placement",684
"Region 4: North Central","SFY 2004-2005","Male","Out of State","Foster Care","Number","Children in Placement",20
"Region 4: North Central","SFY 2004-2005","Male","Out of State","Relative Foster Care","Number","Children in Placement",11
"Region 4: North Central","SFY 2004-2005","Male","Out of State","Special Study","Number","Children in Placement",1
"Region 4: North Central","SFY 2004-2005","Male","Out of State","Therapeutic Foster Care","Number","Children in Placement",21
"Region 4: North Central","SFY 2004-2005","Male","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Male","Out of State","Shelter","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Male","Out of State","Group Home","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Male","Out of State","Residential Treatment Center","Number","Children in Placement",98
"Region 4: North Central","SFY 2004-2005","Male","Out of State","High Meadows","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Male","Out of State","Solnit Center","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Male","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Male","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Male","Out of State","Independent Living","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Male","Out of State","Total","Number","Children in Placement",151
"Region 4: North Central","SFY 2004-2005","Total","In State","Foster Care","Number","Children in Placement",574
"Region 4: North Central","SFY 2004-2005","Total","In State","Relative Foster Care","Number","Children in Placement",348
"Region 4: North Central","SFY 2004-2005","Total","In State","Special Study","Number","Children in Placement",59
"Region 4: North Central","SFY 2004-2005","Total","In State","Therapeutic Foster Care","Number","Children in Placement",101
"Region 4: North Central","SFY 2004-2005","Total","In State","PDC or Safe Home","Number","Children in Placement",51
"Region 4: North Central","SFY 2004-2005","Total","In State","Shelter","Number","Children in Placement",18
"Region 4: North Central","SFY 2004-2005","Total","In State","Group Home","Number","Children in Placement",67
"Region 4: North Central","SFY 2004-2005","Total","In State","Residential Treatment Center","Number","Children in Placement",100
"Region 4: North Central","SFY 2004-2005","Total","In State","High Meadows","Number","Children in Placement",7
"Region 4: North Central","SFY 2004-2005","Total","In State","Solnit Center","Number","Children in Placement",21
"Region 4: North Central","SFY 2004-2005","Total","In State","Connecticut Juvenile Training School","Number","Children in Placement",2
"Region 4: North Central","SFY 2004-2005","Total","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",6
"Region 4: North Central","SFY 2004-2005","Total","In State","Independent Living","Number","Children in Placement",30
"Region 4: North Central","SFY 2004-2005","Total","In State","Total","Number","Children in Placement",1384
"Region 4: North Central","SFY 2004-2005","Total","Out of State","Foster Care","Number","Children in Placement",36
"Region 4: North Central","SFY 2004-2005","Total","Out of State","Relative Foster Care","Number","Children in Placement",28
"Region 4: North Central","SFY 2004-2005","Total","Out of State","Special Study","Number","Children in Placement",2
"Region 4: North Central","SFY 2004-2005","Total","Out of State","Therapeutic Foster Care","Number","Children in Placement",25
"Region 4: North Central","SFY 2004-2005","Total","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Total","Out of State","Shelter","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Total","Out of State","Group Home","Number","Children in Placement",2
"Region 4: North Central","SFY 2004-2005","Total","Out of State","Residential Treatment Center","Number","Children in Placement",137
"Region 4: North Central","SFY 2004-2005","Total","Out of State","High Meadows","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Total","Out of State","Solnit Center","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Total","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Total","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 4: North Central","SFY 2004-2005","Total","Out of State","Independent Living","Number","Children in Placement",0
"Region 4: North Central","SFY 2004-2005","Total","Out of State","Total","Number","Children in Placement",231
"Region 4: North Central","SFY 2005-2006","Female","In State","Foster Care","Number","Children in Placement",289
"Region 4: North Central","SFY 2005-2006","Female","In State","Relative Foster Care","Number","Children in Placement",185
"Region 4: North Central","SFY 2005-2006","Female","In State","Special Study","Number","Children in Placement",41
"Region 4: North Central","SFY 2005-2006","Female","In State","Therapeutic Foster Care","Number","Children in Placement",67
"Region 4: North Central","SFY 2005-2006","Female","In State","PDC or Safe Home","Number","Children in Placement",22
"Region 4: North Central","SFY 2005-2006","Female","In State","Shelter","Number","Children in Placement",15
"Region 4: North Central","SFY 2005-2006","Female","In State","Group Home","Number","Children in Placement",44
"Region 4: North Central","SFY 2005-2006","Female","In State","Residential Treatment Center","Number","Children in Placement",52
"Region 4: North Central","SFY 2005-2006","Female","In State","High Meadows","Number","Children in Placement",3
"Region 4: North Central","SFY 2005-2006","Female","In State","Solnit Center","Number","Children in Placement",14
"Region 4: North Central","SFY 2005-2006","Female","In State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Female","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",2
"Region 4: North Central","SFY 2005-2006","Female","In State","Independent Living","Number","Children in Placement",16
"Region 4: North Central","SFY 2005-2006","Female","In State","Total","Number","Children in Placement",750
"Region 4: North Central","SFY 2005-2006","Female","Out of State","Foster Care","Number","Children in Placement",10
"Region 4: North Central","SFY 2005-2006","Female","Out of State","Relative Foster Care","Number","Children in Placement",12
"Region 4: North Central","SFY 2005-2006","Female","Out of State","Special Study","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Female","Out of State","Therapeutic Foster Care","Number","Children in Placement",1
"Region 4: North Central","SFY 2005-2006","Female","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Female","Out of State","Shelter","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Female","Out of State","Group Home","Number","Children in Placement",2
"Region 4: North Central","SFY 2005-2006","Female","Out of State","Residential Treatment Center","Number","Children in Placement",27
"Region 4: North Central","SFY 2005-2006","Female","Out of State","High Meadows","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Female","Out of State","Solnit Center","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Female","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Female","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Female","Out of State","Independent Living","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Female","Out of State","Total","Number","Children in Placement",52
"Region 4: North Central","SFY 2005-2006","Male","In State","Foster Care","Number","Children in Placement",241
"Region 4: North Central","SFY 2005-2006","Male","In State","Relative Foster Care","Number","Children in Placement",172
"Region 4: North Central","SFY 2005-2006","Male","In State","Special Study","Number","Children in Placement",24
"Region 4: North Central","SFY 2005-2006","Male","In State","Therapeutic Foster Care","Number","Children in Placement",106
"Region 4: North Central","SFY 2005-2006","Male","In State","PDC or Safe Home","Number","Children in Placement",21
"Region 4: North Central","SFY 2005-2006","Male","In State","Shelter","Number","Children in Placement",10
"Region 4: North Central","SFY 2005-2006","Male","In State","Group Home","Number","Children in Placement",45
"Region 4: North Central","SFY 2005-2006","Male","In State","Residential Treatment Center","Number","Children in Placement",68
"Region 4: North Central","SFY 2005-2006","Male","In State","High Meadows","Number","Children in Placement",9
"Region 4: North Central","SFY 2005-2006","Male","In State","Solnit Center","Number","Children in Placement",11
"Region 4: North Central","SFY 2005-2006","Male","In State","Connecticut Juvenile Training School","Number","Children in Placement",4
"Region 4: North Central","SFY 2005-2006","Male","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",5
"Region 4: North Central","SFY 2005-2006","Male","In State","Independent Living","Number","Children in Placement",15
"Region 4: North Central","SFY 2005-2006","Male","In State","Total","Number","Children in Placement",731
"Region 4: North Central","SFY 2005-2006","Male","Out of State","Foster Care","Number","Children in Placement",15
"Region 4: North Central","SFY 2005-2006","Male","Out of State","Relative Foster Care","Number","Children in Placement",13
"Region 4: North Central","SFY 2005-2006","Male","Out of State","Special Study","Number","Children in Placement",1
"Region 4: North Central","SFY 2005-2006","Male","Out of State","Therapeutic Foster Care","Number","Children in Placement",1
"Region 4: North Central","SFY 2005-2006","Male","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Male","Out of State","Shelter","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Male","Out of State","Group Home","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Male","Out of State","Residential Treatment Center","Number","Children in Placement",65
"Region 4: North Central","SFY 2005-2006","Male","Out of State","High Meadows","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Male","Out of State","Solnit Center","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Male","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Male","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Male","Out of State","Independent Living","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Male","Out of State","Total","Number","Children in Placement",95
"Region 4: North Central","SFY 2005-2006","Total","In State","Foster Care","Number","Children in Placement",530
"Region 4: North Central","SFY 2005-2006","Total","In State","Relative Foster Care","Number","Children in Placement",357
"Region 4: North Central","SFY 2005-2006","Total","In State","Special Study","Number","Children in Placement",65
"Region 4: North Central","SFY 2005-2006","Total","In State","Therapeutic Foster Care","Number","Children in Placement",173
"Region 4: North Central","SFY 2005-2006","Total","In State","PDC or Safe Home","Number","Children in Placement",43
"Region 4: North Central","SFY 2005-2006","Total","In State","Shelter","Number","Children in Placement",25
"Region 4: North Central","SFY 2005-2006","Total","In State","Group Home","Number","Children in Placement",89
"Region 4: North Central","SFY 2005-2006","Total","In State","Residential Treatment Center","Number","Children in Placement",120
"Region 4: North Central","SFY 2005-2006","Total","In State","High Meadows","Number","Children in Placement",12
"Region 4: North Central","SFY 2005-2006","Total","In State","Solnit Center","Number","Children in Placement",25
"Region 4: North Central","SFY 2005-2006","Total","In State","Connecticut Juvenile Training School","Number","Children in Placement",4
"Region 4: North Central","SFY 2005-2006","Total","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",7
"Region 4: North Central","SFY 2005-2006","Total","In State","Independent Living","Number","Children in Placement",31
"Region 4: North Central","SFY 2005-2006","Total","In State","Total","Number","Children in Placement",1481
"Region 4: North Central","SFY 2005-2006","Total","Out of State","Foster Care","Number","Children in Placement",25
"Region 4: North Central","SFY 2005-2006","Total","Out of State","Relative Foster Care","Number","Children in Placement",25
"Region 4: North Central","SFY 2005-2006","Total","Out of State","Special Study","Number","Children in Placement",1
"Region 4: North Central","SFY 2005-2006","Total","Out of State","Therapeutic Foster Care","Number","Children in Placement",2
"Region 4: North Central","SFY 2005-2006","Total","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Total","Out of State","Shelter","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Total","Out of State","Group Home","Number","Children in Placement",2
"Region 4: North Central","SFY 2005-2006","Total","Out of State","Residential Treatment Center","Number","Children in Placement",92
"Region 4: North Central","SFY 2005-2006","Total","Out of State","High Meadows","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Total","Out of State","Solnit Center","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Total","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Total","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Total","Out of State","Independent Living","Number","Children in Placement",0
"Region 4: North Central","SFY 2005-2006","Total","Out of State","Total","Number","Children in Placement",147
"Region 4: North Central","SFY 2006-2007","Female","In State","Foster Care","Number","Children in Placement",250
"Region 4: North Central","SFY 2006-2007","Female","In State","Relative Foster Care","Number","Children in Placement",186
"Region 4: North Central","SFY 2006-2007","Female","In State","Special Study","Number","Children in Placement",49
"Region 4: North Central","SFY 2006-2007","Female","In State","Therapeutic Foster Care","Number","Children in Placement",69
"Region 4: North Central","SFY 2006-2007","Female","In State","PDC or Safe Home","Number","Children in Placement",25
"Region 4: North Central","SFY 2006-2007","Female","In State","Shelter","Number","Children in Placement",18
"Region 4: North Central","SFY 2006-2007","Female","In State","Group Home","Number","Children in Placement",42
"Region 4: North Central","SFY 2006-2007","Female","In State","Residential Treatment Center","Number","Children in Placement",36
"Region 4: North Central","SFY 2006-2007","Female","In State","High Meadows","Number","Children in Placement",1
"Region 4: North Central","SFY 2006-2007","Female","In State","Solnit Center","Number","Children in Placement",13
"Region 4: North Central","SFY 2006-2007","Female","In State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Female","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",8
"Region 4: North Central","SFY 2006-2007","Female","In State","Independent Living","Number","Children in Placement",20
"Region 4: North Central","SFY 2006-2007","Female","In State","Total","Number","Children in Placement",717
"Region 4: North Central","SFY 2006-2007","Female","Out of State","Foster Care","Number","Children in Placement",6
"Region 4: North Central","SFY 2006-2007","Female","Out of State","Relative Foster Care","Number","Children in Placement",4
"Region 4: North Central","SFY 2006-2007","Female","Out of State","Special Study","Number","Children in Placement",1
"Region 4: North Central","SFY 2006-2007","Female","Out of State","Therapeutic Foster Care","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Female","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Female","Out of State","Shelter","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Female","Out of State","Group Home","Number","Children in Placement",3
"Region 4: North Central","SFY 2006-2007","Female","Out of State","Residential Treatment Center","Number","Children in Placement",11
"Region 4: North Central","SFY 2006-2007","Female","Out of State","High Meadows","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Female","Out of State","Solnit Center","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Female","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Female","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 4: North Central","SFY 2006-2007","Female","Out of State","Independent Living","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Female","Out of State","Total","Number","Children in Placement",26
"Region 4: North Central","SFY 2006-2007","Male","In State","Foster Care","Number","Children in Placement",246
"Region 4: North Central","SFY 2006-2007","Male","In State","Relative Foster Care","Number","Children in Placement",151
"Region 4: North Central","SFY 2006-2007","Male","In State","Special Study","Number","Children in Placement",35
"Region 4: North Central","SFY 2006-2007","Male","In State","Therapeutic Foster Care","Number","Children in Placement",100
"Region 4: North Central","SFY 2006-2007","Male","In State","PDC or Safe Home","Number","Children in Placement",25
"Region 4: North Central","SFY 2006-2007","Male","In State","Shelter","Number","Children in Placement",9
"Region 4: North Central","SFY 2006-2007","Male","In State","Group Home","Number","Children in Placement",47
"Region 4: North Central","SFY 2006-2007","Male","In State","Residential Treatment Center","Number","Children in Placement",61
"Region 4: North Central","SFY 2006-2007","Male","In State","High Meadows","Number","Children in Placement",7
"Region 4: North Central","SFY 2006-2007","Male","In State","Solnit Center","Number","Children in Placement",15
"Region 4: North Central","SFY 2006-2007","Male","In State","Connecticut Juvenile Training School","Number","Children in Placement",7
"Region 4: North Central","SFY 2006-2007","Male","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",5
"Region 4: North Central","SFY 2006-2007","Male","In State","Independent Living","Number","Children in Placement",17
"Region 4: North Central","SFY 2006-2007","Male","In State","Total","Number","Children in Placement",725
"Region 4: North Central","SFY 2006-2007","Male","Out of State","Foster Care","Number","Children in Placement",13
"Region 4: North Central","SFY 2006-2007","Male","Out of State","Relative Foster Care","Number","Children in Placement",12
"Region 4: North Central","SFY 2006-2007","Male","Out of State","Special Study","Number","Children in Placement",1
"Region 4: North Central","SFY 2006-2007","Male","Out of State","Therapeutic Foster Care","Number","Children in Placement",1
"Region 4: North Central","SFY 2006-2007","Male","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Male","Out of State","Shelter","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Male","Out of State","Group Home","Number","Children in Placement",1
"Region 4: North Central","SFY 2006-2007","Male","Out of State","Residential Treatment Center","Number","Children in Placement",56
"Region 4: North Central","SFY 2006-2007","Male","Out of State","High Meadows","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Male","Out of State","Solnit Center","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Male","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Male","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 4: North Central","SFY 2006-2007","Male","Out of State","Independent Living","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Male","Out of State","Total","Number","Children in Placement",85
"Region 4: North Central","SFY 2006-2007","Total","In State","Foster Care","Number","Children in Placement",496
"Region 4: North Central","SFY 2006-2007","Total","In State","Relative Foster Care","Number","Children in Placement",337
"Region 4: North Central","SFY 2006-2007","Total","In State","Special Study","Number","Children in Placement",84
"Region 4: North Central","SFY 2006-2007","Total","In State","Therapeutic Foster Care","Number","Children in Placement",169
"Region 4: North Central","SFY 2006-2007","Total","In State","PDC or Safe Home","Number","Children in Placement",50
"Region 4: North Central","SFY 2006-2007","Total","In State","Shelter","Number","Children in Placement",27
"Region 4: North Central","SFY 2006-2007","Total","In State","Group Home","Number","Children in Placement",89
"Region 4: North Central","SFY 2006-2007","Total","In State","Residential Treatment Center","Number","Children in Placement",97
"Region 4: North Central","SFY 2006-2007","Total","In State","High Meadows","Number","Children in Placement",8
"Region 4: North Central","SFY 2006-2007","Total","In State","Solnit Center","Number","Children in Placement",28
"Region 4: North Central","SFY 2006-2007","Total","In State","Connecticut Juvenile Training School","Number","Children in Placement",7
"Region 4: North Central","SFY 2006-2007","Total","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",13
"Region 4: North Central","SFY 2006-2007","Total","In State","Independent Living","Number","Children in Placement",37
"Region 4: North Central","SFY 2006-2007","Total","In State","Total","Number","Children in Placement",1442
"Region 4: North Central","SFY 2006-2007","Total","Out of State","Foster Care","Number","Children in Placement",19
"Region 4: North Central","SFY 2006-2007","Total","Out of State","Relative Foster Care","Number","Children in Placement",16
"Region 4: North Central","SFY 2006-2007","Total","Out of State","Special Study","Number","Children in Placement",2
"Region 4: North Central","SFY 2006-2007","Total","Out of State","Therapeutic Foster Care","Number","Children in Placement",1
"Region 4: North Central","SFY 2006-2007","Total","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Total","Out of State","Shelter","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Total","Out of State","Group Home","Number","Children in Placement",4
"Region 4: North Central","SFY 2006-2007","Total","Out of State","Residential Treatment Center","Number","Children in Placement",67
"Region 4: North Central","SFY 2006-2007","Total","Out of State","High Meadows","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Total","Out of State","Solnit Center","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Total","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Total","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",2
"Region 4: North Central","SFY 2006-2007","Total","Out of State","Independent Living","Number","Children in Placement",0
"Region 4: North Central","SFY 2006-2007","Total","Out of State","Total","Number","Children in Placement",111
"Region 4: North Central","SFY 2007-2008","Female","In State","Foster Care","Number","Children in Placement",238
"Region 4: North Central","SFY 2007-2008","Female","In State","Relative Foster Care","Number","Children in Placement",147
"Region 4: North Central","SFY 2007-2008","Female","In State","Special Study","Number","Children in Placement",44
"Region 4: North Central","SFY 2007-2008","Female","In State","Therapeutic Foster Care","Number","Children in Placement",77
"Region 4: North Central","SFY 2007-2008","Female","In State","PDC or Safe Home","Number","Children in Placement",18
"Region 4: North Central","SFY 2007-2008","Female","In State","Shelter","Number","Children in Placement",10
"Region 4: North Central","SFY 2007-2008","Female","In State","Group Home","Number","Children in Placement",38
"Region 4: North Central","SFY 2007-2008","Female","In State","Residential Treatment Center","Number","Children in Placement",49
"Region 4: North Central","SFY 2007-2008","Female","In State","High Meadows","Number","Children in Placement",1
"Region 4: North Central","SFY 2007-2008","Female","In State","Solnit Center","Number","Children in Placement",11
"Region 4: North Central","SFY 2007-2008","Female","In State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Female","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",4
"Region 4: North Central","SFY 2007-2008","Female","In State","Independent Living","Number","Children in Placement",28
"Region 4: North Central","SFY 2007-2008","Female","In State","Total","Number","Children in Placement",665
"Region 4: North Central","SFY 2007-2008","Female","Out of State","Foster Care","Number","Children in Placement",5
"Region 4: North Central","SFY 2007-2008","Female","Out of State","Relative Foster Care","Number","Children in Placement",5
"Region 4: North Central","SFY 2007-2008","Female","Out of State","Special Study","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Female","Out of State","Therapeutic Foster Care","Number","Children in Placement",3
"Region 4: North Central","SFY 2007-2008","Female","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Female","Out of State","Shelter","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Female","Out of State","Group Home","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Female","Out of State","Residential Treatment Center","Number","Children in Placement",14
"Region 4: North Central","SFY 2007-2008","Female","Out of State","High Meadows","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Female","Out of State","Solnit Center","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Female","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Female","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Female","Out of State","Independent Living","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Female","Out of State","Total","Number","Children in Placement",27
"Region 4: North Central","SFY 2007-2008","Male","In State","Foster Care","Number","Children in Placement",213
"Region 4: North Central","SFY 2007-2008","Male","In State","Relative Foster Care","Number","Children in Placement",147
"Region 4: North Central","SFY 2007-2008","Male","In State","Special Study","Number","Children in Placement",36
"Region 4: North Central","SFY 2007-2008","Male","In State","Therapeutic Foster Care","Number","Children in Placement",103
"Region 4: North Central","SFY 2007-2008","Male","In State","PDC or Safe Home","Number","Children in Placement",26
"Region 4: North Central","SFY 2007-2008","Male","In State","Shelter","Number","Children in Placement",12
"Region 4: North Central","SFY 2007-2008","Male","In State","Group Home","Number","Children in Placement",55
"Region 4: North Central","SFY 2007-2008","Male","In State","Residential Treatment Center","Number","Children in Placement",65
"Region 4: North Central","SFY 2007-2008","Male","In State","High Meadows","Number","Children in Placement",3
"Region 4: North Central","SFY 2007-2008","Male","In State","Solnit Center","Number","Children in Placement",11
"Region 4: North Central","SFY 2007-2008","Male","In State","Connecticut Juvenile Training School","Number","Children in Placement",10
"Region 4: North Central","SFY 2007-2008","Male","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",4
"Region 4: North Central","SFY 2007-2008","Male","In State","Independent Living","Number","Children in Placement",14
"Region 4: North Central","SFY 2007-2008","Male","In State","Total","Number","Children in Placement",699
"Region 4: North Central","SFY 2007-2008","Male","Out of State","Foster Care","Number","Children in Placement",10
"Region 4: North Central","SFY 2007-2008","Male","Out of State","Relative Foster Care","Number","Children in Placement",14
"Region 4: North Central","SFY 2007-2008","Male","Out of State","Special Study","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Male","Out of State","Therapeutic Foster Care","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Male","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Male","Out of State","Shelter","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Male","Out of State","Group Home","Number","Children in Placement",2
"Region 4: North Central","SFY 2007-2008","Male","Out of State","Residential Treatment Center","Number","Children in Placement",56
"Region 4: North Central","SFY 2007-2008","Male","Out of State","High Meadows","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Male","Out of State","Solnit Center","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Male","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Male","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Male","Out of State","Independent Living","Number","Children in Placement",0
"Region 4: North Central","SFY 2007-2008","Male","Out of State","Total","Number","Children in Placement",82
"Region 4: North Central","SFY 2007-2008","Total","In State","Foster Care","Number","Children in Placement",451
"Region 4: North Central","SFY 2007-2008","Total","In State","Relative Foster Care","Number","Children in Placement",294
"Region 4: North Central","SFY 2007-2008","Total","In State","Special Study","Number","Children in Placement",80
"Region 4: North Central","SFY 2007-2008","Total","In State","Therapeutic Foster Care","Number","Children in Placement",180
"Region 4: North Central","SFY 2007-2008","Total","In State","PDC or Safe Home","Number","Children in Placement",44
"Region 4: North Central","SFY 2007-2008","Total","In State","Shelter","Number","Children in Placement",22
"Region 4: North Central","SFY 2007-2008","Total","In State","Group Home","Number","Children in Placement",93
"Region 4: North Central","SFY 2007-2008","Total","In State","Residential Treatment Center","Number","Children in Placement",114
