"Region","Year","Demographic","Out_of_State","Type of Placement","tot_Value","Measure Type","Variable"
"Region 2: South Central","SFY 2006-2007","Female","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Female","Out of State","Special Study",1,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Female","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Female","Out of State","Total",27,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","In State","Connecticut Juvenile Training School",13,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","In State","Foster Care",98,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","In State","Group Home",27,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","In State","High Meadows",5,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","In State","Independent Living",7,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","In State","Medical or Psychiatric Hospital Placement",1,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","In State","PDC or Safe Home",23,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","In State","Relative Foster Care",76,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","In State","Residential Treatment Center",54,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","In State","Shelter",7,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","In State","Solnit Center",5,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","In State","Special Study",18,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","In State","Therapeutic Foster Care",124,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","In State","Total",458,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","Out of State","Foster Care",9,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","Out of State","Group Home",1,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","Out of State","Relative Foster Care",5,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","Out of State","Residential Treatment Center",37,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","Out of State","Shelter",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","Out of State","Special Study",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Male","Out of State","Total",52,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","In State","Connecticut Juvenile Training School",13,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","In State","Foster Care",213,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","In State","Group Home",37,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","In State","High Meadows",6,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","In State","Independent Living",18,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","In State","Medical or Psychiatric Hospital Placement",1,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","In State","PDC or Safe Home",36,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","In State","Relative Foster Care",191,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","In State","Residential Treatment Center",104,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","In State","Shelter",16,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","In State","Solnit Center",11,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","In State","Special Study",29,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","In State","Therapeutic Foster Care",221,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","In State","Total",896,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","Out of State","Foster Care",16,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","Out of State","Group Home",1,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","Out of State","Relative Foster Care",9,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","Out of State","Residential Treatment Center",52,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","Out of State","Shelter",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","Out of State","Special Study",1,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2006-2007","Total","Out of State","Total",79,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","In State","Foster Care",100,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","In State","Group Home",21,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","In State","High Meadows",3,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","In State","Independent Living",16,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","In State","Medical or Psychiatric Hospital Placement",4,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","In State","PDC or Safe Home",17,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","In State","Relative Foster Care",111,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","In State","Residential Treatment Center",33,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","In State","Shelter",4,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","In State","Solnit Center",4,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","In State","Special Study",15,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","In State","Therapeutic Foster Care",114,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","In State","Total",442,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","Out of State","Foster Care",8,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","Out of State","Group Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","Out of State","Relative Foster Care",5,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","Out of State","Residential Treatment Center",6,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","Out of State","Shelter",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","Out of State","Special Study",1,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Female","Out of State","Total",20,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","In State","Connecticut Juvenile Training School",9,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","In State","Foster Care",89,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","In State","Group Home",42,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","In State","High Meadows",10,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","In State","Independent Living",6,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","In State","Medical or Psychiatric Hospital Placement",4,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","In State","PDC or Safe Home",17,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","In State","Relative Foster Care",59,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","In State","Residential Treatment Center",70,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","In State","Shelter",14,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","In State","Solnit Center",4,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","In State","Special Study",14,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","In State","Therapeutic Foster Care",139,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","In State","Total",477,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","Out of State","Foster Care",8,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","Out of State","Group Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","Out of State","Medical or Psychiatric Hospital Placement",1,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","Out of State","Relative Foster Care",5,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","Out of State","Residential Treatment Center",37,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","Out of State","Shelter",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","Out of State","Special Study",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Male","Out of State","Total",51,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","In State","Connecticut Juvenile Training School",9,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","In State","Foster Care",189,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","In State","Group Home",63,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","In State","High Meadows",13,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","In State","Independent Living",22,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","In State","Medical or Psychiatric Hospital Placement",8,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","In State","PDC or Safe Home",34,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","In State","Relative Foster Care",170,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","In State","Residential Treatment Center",103,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","In State","Shelter",18,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","In State","Solnit Center",8,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","In State","Special Study",29,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","In State","Therapeutic Foster Care",253,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","In State","Total",919,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","Out of State","Foster Care",16,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","Out of State","Group Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","Out of State","Medical or Psychiatric Hospital Placement",1,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","Out of State","Relative Foster Care",10,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","Out of State","Residential Treatment Center",43,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","Out of State","Shelter",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","Out of State","Special Study",1,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2007-2008","Total","Out of State","Total",71,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","In State","Foster Care",99,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","In State","Group Home",29,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","In State","High Meadows",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","In State","Independent Living",19,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","In State","Medical or Psychiatric Hospital Placement",2,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","In State","PDC or Safe Home",17,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","In State","Relative Foster Care",69,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","In State","Residential Treatment Center",35,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","In State","Shelter",6,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","In State","Solnit Center",8,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","In State","Special Study",19,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","In State","Therapeutic Foster Care",94,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","In State","Total",397,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","Out of State","Foster Care",6,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","Out of State","Group Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","Out of State","Relative Foster Care",5,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","Out of State","Residential Treatment Center",20,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","Out of State","Shelter",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","Out of State","Special Study",1,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","Out of State","Therapeutic Foster Care",1,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Female","Out of State","Total",33,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","In State","Connecticut Juvenile Training School",5,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","In State","Foster Care",84,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","In State","Group Home",45,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","In State","High Meadows",8,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","In State","Independent Living",7,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","In State","Medical or Psychiatric Hospital Placement",2,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","In State","PDC or Safe Home",22,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","In State","Relative Foster Care",64,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","In State","Residential Treatment Center",40,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","In State","Shelter",7,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","In State","Solnit Center",3,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","In State","Special Study",11,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","In State","Therapeutic Foster Care",122,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","In State","Total",420,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","Out of State","Foster Care",7,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","Out of State","Group Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","Out of State","Relative Foster Care",6,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","Out of State","Residential Treatment Center",45,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","Out of State","Shelter",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","Out of State","Special Study",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","Out of State","Therapeutic Foster Care",2,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Male","Out of State","Total",60,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","In State","Connecticut Juvenile Training School",5,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","In State","Foster Care",183,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","In State","Group Home",74,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","In State","High Meadows",8,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","In State","Independent Living",26,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","In State","Medical or Psychiatric Hospital Placement",4,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","In State","PDC or Safe Home",39,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","In State","Relative Foster Care",133,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","In State","Residential Treatment Center",75,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","In State","Shelter",13,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","In State","Solnit Center",11,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","In State","Special Study",30,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","In State","Therapeutic Foster Care",216,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","In State","Total",817,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","Out of State","Foster Care",13,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","Out of State","Group Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","Out of State","Relative Foster Care",11,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","Out of State","Residential Treatment Center",65,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","Out of State","Shelter",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","Out of State","Special Study",1,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","Out of State","Therapeutic Foster Care",3,"Number","Children in Placement"
"Region 2: South Central","SFY 2008-2009","Total","Out of State","Total",93,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","In State","Foster Care",112,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","In State","Group Home",27,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","In State","High Meadows",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","In State","Independent Living",23,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","In State","Medical or Psychiatric Hospital Placement",3,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","In State","PDC or Safe Home",7,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","In State","Relative Foster Care",55,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","In State","Residential Treatment Center",17,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","In State","Shelter",5,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","In State","Solnit Center",8,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","In State","Special Study",18,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","In State","Therapeutic Foster Care",97,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","In State","Total",372,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","Out of State","Foster Care",8,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","Out of State","Group Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","Out of State","Relative Foster Care",2,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","Out of State","Residential Treatment Center",15,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","Out of State","Shelter",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","Out of State","Special Study",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Female","Out of State","Total",25,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","In State","Connecticut Juvenile Training School",8,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","In State","Foster Care",88,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","In State","Group Home",52,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","In State","High Meadows",6,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","In State","Independent Living",11,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","In State","Medical or Psychiatric Hospital Placement",6,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","In State","PDC or Safe Home",7,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","In State","Relative Foster Care",52,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","In State","Residential Treatment Center",19,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","In State","Shelter",9,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","In State","Solnit Center",5,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","In State","Special Study",16,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","In State","Therapeutic Foster Care",110,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","In State","Total",389,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","Out of State","Foster Care",5,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","Out of State","Group Home",2,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","Out of State","Relative Foster Care",8,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","Out of State","Residential Treatment Center",32,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","Out of State","Shelter",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","Out of State","Special Study",0,"Number","Children in Placement"
"Region 2: South Central","SFY 2009-2010","Male","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
